args.feature_dim:  251
Dataset Wisconsin: num_nodes=251, feature_dim=1703, num_classes=5
params:  15623269
[split 2] Epoch 020, Loss: 0.5016, Val Acc: 0.8500, Test Acc: 0.8627, Test Pre: 0.8392, Test F1: 0.8417
[split 2] Epoch 030, Loss: 0.4609, Val Acc: 0.8750, Test Acc: 0.8627, Test Pre: 0.8761, Test F1: 0.8585
[split 2] Epoch 040, Loss: 0.4301, Val Acc: 0.8500, Test Acc: 0.8627, Test Pre: 0.8761, Test F1: 0.8585
[split 2] Epoch 050, Loss: 0.4153, Val Acc: 0.8375, Test Acc: 0.8431, Test Pre: 0.7500, Test F1: 0.7900
[split 2] Epoch 060, Loss: 0.4075, Val Acc: 0.8500, Test Acc: 0.8431, Test Pre: 0.7500, Test F1: 0.7900
[split 2] Epoch 070, Loss: 0.4035, Val Acc: 0.8375, Test Acc: 0.9020, Test Pre: 0.9117, Test F1: 0.8936
[split 2] Epoch 080, Loss: 0.4009, Val Acc: 0.8500, Test Acc: 0.8627, Test Pre: 0.8737, Test F1: 0.8454
[split 2] Epoch 090, Loss: 0.3992, Val Acc: 0.8625, Test Acc: 0.8824, Test Pre: 0.8952, Test F1: 0.8757
[split 2] Epoch 100, Loss: 0.3979, Val Acc: 0.8500, Test Acc: 0.8824, Test Pre: 0.8952, Test F1: 0.8757
[split 2] Epoch 110, Loss: 0.3968, Val Acc: 0.8500, Test Acc: 0.8824, Test Pre: 0.8952, Test F1: 0.8757
[split 2] Epoch 120, Loss: 0.3959, Val Acc: 0.8500, Test Acc: 0.8824, Test Pre: 0.8952, Test F1: 0.8757
[split 2] Epoch 130, Loss: 0.3952, Val Acc: 0.8500, Test Acc: 0.8824, Test Pre: 0.8952, Test F1: 0.8757
[split 2] Epoch 140, Loss: 0.3944, Val Acc: 0.8500, Test Acc: 0.8824, Test Pre: 0.8952, Test F1: 0.8757
[split 2] Epoch 150, Loss: 0.3938, Val Acc: 0.8375, Test Acc: 0.8824, Test Pre: 0.8915, Test F1: 0.8772
[split 2] Epoch 160, Loss: 0.3932, Val Acc: 0.8375, Test Acc: 0.8824, Test Pre: 0.8915, Test F1: 0.8772
[split 2] Epoch 170, Loss: 0.3927, Val Acc: 0.8375, Test Acc: 0.8824, Test Pre: 0.8915, Test F1: 0.8772
[split 2] Epoch 180, Loss: 0.3922, Val Acc: 0.8375, Test Acc: 0.8824, Test Pre: 0.8915, Test F1: 0.8772
[split 2] Epoch 190, Loss: 0.3918, Val Acc: 0.8375, Test Acc: 0.8824, Test Pre: 0.8915, Test F1: 0.8772
[split 2] Epoch 200, Loss: 0.3914, Val Acc: 0.8250, Test Acc: 0.8824, Test Pre: 0.8915, Test F1: 0.8772
[split 2] Epoch 210, Loss: 0.3911, Val Acc: 0.8250, Test Acc: 0.8431, Test Pre: 0.8658, Test F1: 0.8401
[split 2] Epoch 220, Loss: 0.3908, Val Acc: 0.8250, Test Acc: 0.8431, Test Pre: 0.8658, Test F1: 0.8401
[split 2] Epoch 230, Loss: 0.3906, Val Acc: 0.8125, Test Acc: 0.8431, Test Pre: 0.8658, Test F1: 0.8401
[split 2] Epoch 240, Loss: 0.3904, Val Acc: 0.8125, Test Acc: 0.8431, Test Pre: 0.8658, Test F1: 0.8401
[split 2] Epoch 250, Loss: 0.3903, Val Acc: 0.8125, Test Acc: 0.8431, Test Pre: 0.8658, Test F1: 0.8401
[split 2] Epoch 260, Loss: 0.3902, Val Acc: 0.8125, Test Acc: 0.8039, Test Pre: 0.8527, Test F1: 0.7971
